Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,CL=F,JETS,SPY,CL=F,JETS,SPY,CL=F,JETS,SPY,CL=F,JETS,SPY,CL=F,JETS,SPY
Date,,,,,,,,,,,,,,,
2010-01-04,81.51000213623047,,85.0279541015625,81.68000030517578,,85.07296839235833,79.62999725341797,,83.66246528116115,79.62999725341797,,84.30769682834931,263542.0,,118944600
2010-01-05,81.7699966430664,,85.2530288696289,82.0,,85.2905445936289,80.94999694824219,,84.66782020944238,81.62999725341797,,84.97543311877396,258887.0,,111579900
2010-01-06,83.18000030517578,,85.31304168701172,83.5199966430664,,85.52311597883121,80.8499984741211,,85.10296739519221,81.43000030517578,,85.17048882152199,370059.0,,116074400
2010-01-07,82.66000366210938,,85.67321014404297,83.36000061035156,,85.77824733532898,82.26000213623047,,84.9154369291102,83.19999694824219,,85.15552275549217,246632.0,,131091100
2010-01-08,82.75,,85.95831298828125,83.47000122070312,,85.99582872525268,81.80000305175781,,85.27557122336414,82.6500015258789,,85.44812987559799,310377.0,,126402800
2010-01-11,82.5199966430664,,86.07833862304688,83.94999694824219,,86.37844155219625,81.95999908447266,,85.7107028038749,82.87999725341797,,86.34093154810081,296304.0,,106375700
2010-01-12,80.79000091552734,,85.27555084228516,82.33999633789062,,85.68819522985875,79.91000366210938,,84.94543075294914,82.06999969482422,,85.50813232844658,333866.0,,163333500
2010-01-13,79.6500015258789,,85.99580383300781,80.66999816894531,,86.2358895974757,78.37000274658203,,85.05796792116506,80.05999755859375,,85.49311943394703,401627.0,,161822000
2010-01-14,79.38999938964844,,86.22837829589844,80.36000061035156,,86.38593402938507,78.91999816894531,,85.84573967223338,79.62999725341797,,85.89825825006226,275404.0,,115718800
2010-01-15,78.0,,85.2605209350586,79.30999755859375,,86.16084094101707,77.69999694824219,,84.93040092829615,79.19999694824219,,86.07831666342146,200555.0,,212283100
2010-01-19,79.0199966430664,,86.32594299316406,79.1500015258789,,86.37846159035817,76.76000213623047,,85.2230467279901,77.8499984741211,,85.24555960458567,186882.0,,139172700
2010-01-20,77.62000274658203,,85.4480972290039,79.02999877929688,,85.86824584689101,76.95999908447266,,84.76535572493736,78.87999725341797,,85.74070154847466,303758.0,,216490200
2010-01-21,76.08000183105469,,83.80502319335938,78.36000061035156,,85.73321379242867,75.66000366210938,,83.6999860186316,77.55999755859375,,85.47062085560925,327417.0,,344859600
2010-01-22,74.54000091552734,,81.93684387207031,76.5,,83.83502276332213,74.01000213623047,,81.84680956758042,75.83999633789062,,83.42987697926151,348819.0,,345942400
2010-01-25,75.26000213623047,,82.35699462890625,75.41999816894531,,82.83717187443516,74.05999755859375,,82.08690315668433,74.23999786376953,,82.68711469642736,280559.0,,186937500
2010-01-26,74.70999908447266,,82.0118637084961,75.38999938964844,,82.88217808378711,73.81999969482422,,81.80929369305862,75.27999877929688,,82.03437085197854,256207.0,,211168800
2010-01-27,73.66999816894531,,82.40200805664062,75.08999633789062,,82.58957522108308,72.6500015258789,,81.27660506998592,74.69000244140625,,81.90682799494667,356179.0,,271863600
2010-01-28,73.63999938964844,,81.4566650390625,74.48999786376953,,82.71711656811183,72.93000030517578,,80.96149071912994,73.75,,82.67210228196215,292911.0,,316104000
2010-01-29,72.88999938964844,,80.57136535644531,74.81999969482422,,82.37951589815118,72.43000030517578,,80.44382103520621,73.88999938964844,,81.80931001177507,335270.0,,310677600
2010-02-01,74.43000030517578,,81.82429504394531,74.98999786376953,,81.83179933300008,72.48999786376953,,80.65387781159914,72.83999633789062,,81.14155356644184,277411.0,,187865000
2010-02-02,77.2300033569336,,82.8146743774414,77.41000366210938,,82.97223015052442,74.4000015258789,,81.68927109190803,74.94000244140625,,81.97437692099864,366269.0,,216327900
2010-02-03,76.9800033569336,,82.40200805664062,78.04000091552734,,82.88968382901012,76.5199966430664,,82.16192231511812,76.98999786376953,,82.43951805507176,391294.0,,172730700
2010-02-04,73.13999938964844,,79.85863494873047,77.16999816894531,,81.80182892958382,72.41999816894531,,79.8436263630932,77.08999633789062,,81.76431891368716,523892.0,,356715700
2010-02-05,71.19000244140625,,80.02366638183594,73.94000244140625,,80.18872069603596,69.5,,78.4631060322486,73.04000091552734,,79.94863492872223,596142.0,,493585800
2010-02-08,71.88999938964844,,79.4459457397461,72.38999938964844,,80.52633441180653,70.7699966430664,,79.38592287483263,72.18000030517578,,80.0836729381891,345638.0,,224166900
2010-02-09,73.75,,80.44384002685547,74.1500015258789,,81.14159039919963,71.31999969482422,,79.7310810695889,71.68000030517578,,80.37631284290062,429845.0,,337820500
2010-02-10,74.5199966430664,,80.28626251220703,74.97000122070312,,80.72891833801314,72.5999984741211,,79.61101947580272,73.79000091552734,,80.31627394983572,422057.0,,240511500
2010-02-11,75.27999877929688,,81.12655639648438,75.69000244140625,,81.21659070551615,73.37999725341797,,79.71605323289693,74.6500015258789,,80.18122191008352,464441.0,,223591600
2010-02-12,74.12999725341797,,81.05904388427734,75.3499984741211,,81.10405818170226,72.66000366210938,,79.91113350716726,75.30000305175781,,80.27125933476027,335805.0,,304622100
2010-02-16,77.01000213623047,,82.3344955444336,77.41999816894531,,82.41702556939421,73.70999908447266,,80.89398083909717,74.0199966430664,,81.67426106884521,365032.0,,159317500
2010-02-17,77.33000183105469,,82.72459411621094,77.81999969482422,,82.83713551930119,76.52999877929688,,82.33445134871056,77.31999969482422,,82.73209267874836,283816.0,,168845100
2010-02-18,79.05999755859375,,83.21231079101562,79.29000091552734,,83.38486940005592,76.31999969482422,,82.55957491014618,77.29000091552734,,82.58958634739152,274169.0,,193708600
2010-02-19,79.80999755859375,,83.38485717773438,80.0999984741211,,83.70747292571328,77.76000213623047,,82.7996485474693,78.37000274658203,,82.99471999892285,183234.0,,222684900
2010-02-22,80.16000366210938,,83.39988708496094,80.51000213623047,,83.71499862429124,79.44999694824219,,83.15229699373127,80.0999984741211,,83.69249147492437,238956.0,,132346900
2010-02-23,78.86000061035156,,82.38701629638672,80.38999938964844,,83.42988948565008,78.22000122070312,,82.16943765432573,80.02999877929688,,83.17480083750071,316878.0,,207497000
2010-02-24,80.0,,83.14476776123047,80.44999694824219,,83.27981634101755,78.25,,82.42451057706445,79.12999725341797,,82.63458487360097,289321.0,,176350700
2010-02-25,78.16999816894531,,83.0322265625,80.31999969482422,,83.09224942571002,77.05000305175781,,81.73426505913126,80.30999755859375,,81.9593422100259,346025.0,,259634700
2010-02-26,79.66000366210938,,83.08474731445312,80.05000305175781,,83.36985306012575,77.81999969482422,,82.61208013349993,78.33000183105469,,83.10725445772299,319038.0,,173589300
2010-03-01,78.69999694824219,,83.94758605957031,80.62000274658203,,84.03011609580648,78.05999755859375,,83.40739154024169,79.83999633789062,,83.42989869119748,298718.0,,147709700
2010-03-02,79.68000030517578,,84.18011474609375,80.94999694824219,,84.58526038128532,78.26000213623047,,84.0300633511756,78.87999725341797,,84.30766472827736,301698.0,,160992400
2010-03-03,80.87000274658203,,84.25518798828125,81.2300033569336,,84.75786670726824,79.44000244140625,,84.04510791738986,79.63999938964844,,84.39773516697961,306910.0,,150785000
2010-03-04,80.20999908447266,,84.51029205322266,81.08999633789062,,84.63033782992471,79.69999694824219,,84.05262754671706,81.01000213623047,,84.3677391244134,278889.0,,135770400
2010-03-05,81.5,,85.71819305419922,82.06999969482422,,85.78571448496928,80.47000122070312,,84.8553829639768,80.58000183105469,,85.05795870447803,299634.0,,176118800
2010-03-08,81.87000274658203,,85.73320770263672,82.41000366210938,,85.920774890484,80.75,,85.5831562419974,81.79000091552734,,85.72570913647216,295351.0,,114631200
2010-03-09,81.48999786376953,,85.87577056884766,81.91000366210938,,86.2734121374019,80.16000366210938,,85.4331147016939,81.75,,85.4781290002934,332133.0,,154556700
2010-03-10,82.08999633789062,,86.25839233398438,83.02999877929688,,86.49097379652108,80.80999755859375,,85.83824369866754,81.37999725341797,,85.91326942296043,430148.0,,186088800
2010-03-11,82.11000061035156,,86.6185302734375,82.37999725341797,,86.64104314557555,81.33000183105469,,85.7932357420387,81.9800033569336,,86.05582867601605,279161.0,,160791100
2010-03-12,81.23999786376953,,86.6259994506836,83.16000366210938,,87.00863798457641,80.56999969482422,,86.38591376206531,82.19999694824219,,86.9936294092347,337201.0,,162074800
2010-03-15,79.80000305175781,,86.64855194091797,81.30999755859375,,86.70857482551173,79.12999725341797,,85.98081309108005,81.12999725341797,,86.47599330283258,283135.0,,146816800
2010-03-16,81.69999694824219,,87.33875274658203,82.04000091552734,,87.42127700966469,79.31999969482422,,86.64850142436873,79.83999633789062,,86.88858709867519,290180.0,,168673000
2010-03-17,82.93000030517578,,87.85643768310547,83.08999633789062,,88.1415433683414,81.72000122070312,,87.3462548887874,82.05000305175781,,87.60134914799355,275205.0,,177468100
2010-03-18,82.19999694824219,,87.81145477294922,82.8499984741211,,87.98401337914186,81.68000030517578,,87.45882754625609,82.8499984741211,,87.86397335623779,208343.0,,196509100
2010-03-19,80.68000030517578,,87.36698150634766,82.16999816894531,,88.36141444341918,79.86000061035156,,87.0279667508219,82.16999816894531,,87.36698150634766,150682.0,,226641100
2010-03-22,81.25,,87.83406066894531,81.48999786376953,,87.99227100453224,78.56999969482422,,86.81702789080464,80.93000030517578,,86.86976275344396,351220.0,,184477800
2010-03-23,81.91000366210938,,88.45183563232422,82.19999694824219,,88.52717034248994,80.8499984741211,,87.67587144937431,81.80999755859375,,87.96215139474204,261873.0,,182941600
2010-03-24,80.61000061035156,,88.02235412597656,81.63999938964844,,88.46683837599244,79.87999725341797,,87.07312709624641,81.58000183105469,,88.12029435356725,307763.0,,196072600
